ciudad,pais
buenos aires,Argentina
córdoba,Argentina
rosario,Argentina
la paz,Bolivia
santa cruz de la sierra,Bolivia
sucre,Bolivia
brasilia,Brasil
são paulo,Brasil
río de janeiro,Brasil
santiago,Chile
valparaíso,Chile
concepción,Chile
bogotá,Colombia
medellín,Colombia
cali,Colombia
quito,Ecuador
guayaquil,Ecuador
cuenca,Ecuador
asunción,Paraguay
ciudad del este,Paraguay
lima,Perú
arequipa,Perú
trujillo,Perú
montevideo,Uruguay
salto,Uruguay
caracas,Venezuela
maracaibo,Venezuela
valencia,Venezuela
ciudad de méxico,México
guadalajara,México
monterrey,México
tijuana,México
nueva york,Estados Unidos
los ángeles,Estados Unidos
chicago,Estados Unidos
houston,Estados Unidos
ottawa,Canadá
toronto,Canadá
montreal,Canadá
vancouver,Canadá
madrid,España
barcelona,España
valencia,España
parís,Francia
marsella,Francia
lyon,Francia
roma,Italia
milán,Italia
nápoles,Italia
berlín,Alemania
múnich,Alemania
hamburgo,Alemania
londres,Reino Unido
manchester,Reino Unido
birmingham,Reino Unido
lisboa,Portugal
oporto,Portugal
moscú,Rusia
san petersburgo,Rusia
kiev,Ucrania
viena,Austria
atenas,Grecia
tokio,Japón
osaka,Japón
kioto,Japón
pekin,China
shanghai,China
hong kong,China
seúl,Corea del Sur
busán,Corea del Sur
bangkok,Tailandia
chiang mai,Tailandia
nueva delhi,India
bombay,India
bangalore,India
yakarta,Indonesia
bali,Indonesia
singapur,Singapur
kuala lumpur,Malasia
manila,Filipinas
dubái,Emiratos Árabes Unidos
tel aviv,Israel
el cairo,Egipto
alejandría,Egipto
ciudad del cabo,Sudáfrica
johannesburgo,Sudáfrica
nairobi,Kenia
casablanca,Marruecos
túnez,Túnez
lagos,Nigeria
accra,Ghana
sídney,Australia
melbourne,Australia
brisbane,Australia
auckland,Nueva Zelanda
wellington,Nueva Zelanda
suva,Fiyi
estambul,Turquía
ankara,Turquía
teherán,Irán
bagdad,Iraq
riyadh,Arabia Saudita
doha,Qatar
